Protein Set,norm(Weighted SC Z1),norm(Weighted SC Z2),norm(Weighted SC K1),norm(Weighted SC Z3),norm(Weighted SC Z4),norm(Weighted SC Z6),norm(Weighted SC Z5),norm(Weighted SC Z7),norm(Weighted SC K2),norm(Weighted SC K3),norm(Weighted SC K4),norm(Weighted SC K5)
RAN_HUMAN,1.7975955469692089,7.33514490667933,12.060441344158297,14.856884104773961,12.42803025600066,9.837121207884554,9.15530303621153,12.807476931887498,21.876646895593826,2.493247741589455,4.186923580269031,9.165184447982647
ANXA5_HUMAN,13.797595546969209,21.33514490667933,17.060441344158296,6.856884104773962,33.42803025600066,3.837121207884554,13.15530303621153,11.807476931887498,12.876646895593828,5.493247741589455,7.186923580269031,22.165184447982647
TRFL_HUMAN,-0.20240445303079113,9.33514490667933,1.0604413441582974,-0.14311589522603807,-5.571969743999339,1.8371212078845538,0.15530303621152974,1.8074769318874981,-0.12335310440617242,17.493247741589453,1.1869235802690312,0.16518444798264653
TCPG_HUMAN,2.797595546969209,9.33514490667933,3.0604413441582974,4.856884104773962,6.428030256000661,2.837121207884554,3.1553030362115297,7.807476931887498,0.8766468955938276,2.493247741589455,2.186923580269031,4.1651844479826465
H2A1B_HUMAN,76.04895357919577,77.22595301214808,77.88076910294735,77.68972407059427,95.02033067103972,77.12984581725955,71.06678680085996,74.81012433178984,81.02841844100398,50.951694244275004,89.00465734491746,68.44130749485764
H2AY_HUMAN,-0.20240445303079113,5.33514490667933,3.0604413441582974,3.856884104773962,12.42803025600066,2.837121207884554,0.15530303621152974,3.807476931887498,7.876646895593828,3.493247741589455,4.186923580269031,6.1651844479826465
LMNB2_HUMAN,1.7975955469692089,-0.6648550933206696,2.0604413441582974,6.856884104773962,-0.5719697439993388,2.837121207884554,0.15530303621152974,3.807476931887498,2.8766468955938276,2.493247741589455,5.186923580269031,7.254423568466045
1433G_HUMAN,0.3494250042522289,1.5069033199941497,1.9361430100365933,0.7165999241327876,-1.0603535139883524,2.468879659346346,2.062976156710187,3.6032494843777325,2.0803770019475873,3.1889493407105487,2.618610935310535,2.6129288174894825
MDHC_HUMAN,12.797595546969209,9.33514490667933,5.060441344158297,6.856884104773962,11.42803025600066,4.837121207884554,3.1553030362115297,6.807476931887498,2.8766468955938276,4.493247741589455,1.1869235802690312,7.1651844479826465
HNRPR_HUMAN,8.729634807833467,5.19922247473353,9.856558173076754,7.720961672828161,23.748419049945973,12.701198775938753,5.087341820238629,12.467671328860154,16.6727646781866,2.493247741589455,10.118962841133289,9.165184447982647
RACK1_HUMAN,2.797595546969209,1.3351449066793304,5.060441344158297,5.856884104773962,6.428030256000661,1.8371212078845538,4.15530303621153,3.807476931887498,3.8766468955938276,4.493247741589455,3.186923580269031,3.1651844479826465
DDX17_HUMAN,1.5475955469692089,2.9601449066793304,1.0604413441582974,3.481884104773962,2.8030302560006612,1.8371212078845538,0.15530303621152974,-0.19252306811250186,-0.12335310440617242,2.493247741589455,4.686923580269031,3.7901844479826465
HSP76_HUMAN,3.7599030001247264,6.758126168886362,2.529913514034396,2.0647336073374385,-3.1864056551779276,2.4191198541438617,9.101530109880963,4.511665278750291,6.70477666396541,10.075246566662697,2.729753332237415,4.365712115981914
K2C5_HUMAN,3.2615130407893993,-0.10815408881551214,4.745266287700778,0.3536483474230403,-5.571969743999339,2.2082552208220996,0.7237841238961611,-0.19252306811250186,1.1086056425039228,2.968945378193764,1.650841103891544,2.7800573804167286
RS18_HUMAN,1.7975955469692089,7.33514490667933,1.0604413441582974,9.856884104773961,9.42803025600066,1.8371212078845538,2.1553030362115297,3.807476931887498,3.8766468955938276,2.493247741589455,3.186923580269031,7.1651844479826465
HNRPM_HUMAN,9.797595546969209,5.33514490667933,6.060441344158297,7.856884104773962,6.428030256000661,4.837121207884554,6.15530303621153,5.807476931887498,6.876646895593828,2.493247741589455,8.186923580269031,8.165184447982647
K2C6A_HUMAN,0.1296540660941936,-0.36638486441022344,1.2887162856026944,0.03860121743436995,-5.571969743999339,1.9608325480139293,0.3931838324056063,-0.19252306811250186,-0.04603351961928048,2.7324587644433063,4.341562824348621,0.46691627285752446
ROA3_HUMAN,-0.20240445303079113,6.33514490667933,9.060441344158297,1.856884104773962,5.428030256000661,1.8371212078845538,6.15530303621153,-0.19252306811250186,5.876646895593828,4.493247741589455,1.1869235802690312,0.16518444798264653
AN32A_HUMAN,15.3022685511196,18.905238061586555,7.499693720714694,13.98772535996195,16.371956113544606,6.089457709959749,18.2861433377252,15.125233584719528,20.63365640181941,14.371752494702248,10.691596584419422,13.482941100814678
DHE3_HUMAN,6.797595546969209,1.3351449066793304,8.060441344158297,1.856884104773962,3.4280302560006612,1.8371212078845538,5.15530303621153,4.807476931887498,-0.12335310440617242,2.493247741589455,1.1869235802690312,0.16518444798264653
K1C14_HUMAN,4.900317714937959,0.3762760454809051,1.0604413441582974,0.8568841047739619,-5.571969743999339,1.8371212078845538,1.2786963334069643,-0.19252306811250186,-0.12335310440617242,2.493247741589455,1.1869235802690312,0.18575000061962754
PCBP1_HUMAN,12.63321165872458,10.088569551149545,3.978249400035983,5.692500216529333,17.263647321430348,9.508353908232454,10.9909191479669,12.601997310000291,10.712263007349199,3.4521518291329425,12.940348224739246,9.041897247054912
IDHP_HUMAN,6.797595546969209,5.33514490667933,1.0604413441582974,5.856884104773962,18.42803025600066,2.837121207884554,1.1553030362115297,4.807476931887498,-0.12335310440617242,2.493247741589455,1.1869235802690312,11.165184447982647
